"","X","Date","SNDP"
"1",1,"1981-10-01",0
"2",2,"1981-10-02",0
"3",3,"1981-10-03",0
"4",4,"1981-10-04",0
"5",5,"1981-10-05",0
"6",6,"1981-10-06",0
"7",7,"1981-10-07",0
"8",8,"1981-10-08",0
"9",9,"1981-10-09",0
"10",10,"1981-10-10",0
"11",11,"1981-10-11",0
"12",12,"1981-10-12",0
"13",13,"1981-10-13",0
"14",14,"1981-10-14",0
"15",15,"1981-10-15",0
"16",16,"1981-10-16",0
"17",17,"1981-10-17",0
"18",18,"1981-10-18",0
"19",19,"1981-10-19",0
"20",20,"1981-10-20",0
"21",21,"1981-10-21",0
"22",22,"1981-10-22",0
"23",23,"1981-10-23",0
"24",24,"1981-10-24",1.67121804511278
"25",25,"1981-10-25",1.67121804511278
"26",26,"1981-10-26",1.35786466165414
"27",27,"1981-10-27",1.17507518796992
"28",28,"1981-10-28",0.208902255639098
"29",29,"1981-10-29",0.443917293233081
"30",30,"1981-10-30",0.443917293233081
"31",31,"1981-10-31",0.417804511278195
"32",32,"1981-11-01",0.339466165413534
"33",33,"1981-11-02",0.0783383458646616
"34",34,"1981-11-03",0
"35",35,"1981-11-04",0
"36",36,"1981-11-05",0
"37",37,"1981-11-06",0
"38",38,"1981-11-07",0
"39",39,"1981-11-08",1.61899248120301
"40",40,"1981-11-09",1.35786466165414
"41",41,"1981-11-10",1.35786466165414
"42",42,"1981-11-11",2.37626315789474
"43",43,"1981-11-12",2.53293984962406
"44",44,"1981-11-13",2.58516541353383
"45",45,"1981-11-14",3.34243609022556
"46",46,"1981-11-15",3.49911278195488
"47",47,"1981-11-16",1.56676691729323
"48",48,"1981-11-17",0
"49",49,"1981-11-18",5.22255639097744
"50",50,"1981-11-19",24.5199022556391
"51",51,"1981-11-20",25.9561052631579
"52",52,"1981-11-21",69.5644511278195
"53",53,"1981-11-22",75.0742481203009
"54",54,"1981-11-23",74.7347819548872
"55",55,"1981-11-24",74.4214285714285
"56",56,"1981-11-25",74.5519924812029
"57",57,"1981-11-26",74.5519924812029
"58",58,"1981-11-27",91.0291578947369
"59",59,"1981-11-28",122.025030075188
"60",60,"1981-11-29",118.917609022556
"61",61,"1981-11-30",121.528887218045
"62",62,"1981-12-01",132.104563909774
"63",63,"1981-12-02",112.963894736842
"64",64,"1981-12-03",140.982909774436
"65",65,"1981-12-04",123.85292481203
"66",66,"1981-12-05",151.58469924812
"67",67,"1981-12-06",158.63515037594
"68",68,"1981-12-07",215.952706766917
"69",69,"1981-12-08",234.910586466165
"70",70,"1981-12-09",219.608496240601
"71",71,"1981-12-10",243.945609022556
"72",72,"1981-12-11",246.63522556391
"73",73,"1981-12-12",249.820984962406
"74",74,"1981-12-13",252.145022556391
"75",75,"1981-12-14",251.518315789474
"76",76,"1981-12-15",259.534939849624
"77",77,"1981-12-16",312.831127819549
"78",78,"1981-12-17",344.819285714286
"79",79,"1981-12-18",345.654894736842
"80",80,"1981-12-19",383.074511278195
"81",81,"1981-12-20",419.397390977445
"82",82,"1981-12-21",419.423503759398
"83",83,"1981-12-22",419.815195488721
"84",84,"1981-12-23",424.280481203009
"85",85,"1981-12-24",476.610496240602
"86",86,"1981-12-25",477.028300751881
"87",87,"1981-12-26",477.602781954886
"88",88,"1981-12-27",476.767172932331
"89",89,"1981-12-28",502.853842105265
"90",90,"1981-12-29",519.435458646616
"91",91,"1981-12-30",524.396887218047
"92",92,"1981-12-31",525.049706766919
"93",93,"1982-01-01",524.423
"94",94,"1982-01-02",594.065789473683
"95",95,"1982-01-03",594.614157894735
"96",96,"1982-01-04",590.488338345863
"97",97,"1982-01-05",623.703796992483
"98",98,"1982-01-06",621.797563909773
"99",99,"1982-01-07",620.648601503759
"100",100,"1982-01-08",620.596375939849
"101",101,"1982-01-09",620.726939849625
"102",102,"1982-01-10",620.491924812029
"103",103,"1982-01-11",620.152458646616
"104",104,"1982-01-12",620.570263157896
"105",105,"1982-01-13",619.421300751881
"106",106,"1982-01-14",641.277699248119
"107",107,"1982-01-15",656.945368421052
"108",108,"1982-01-16",654.778007518796
"109",109,"1982-01-17",662.429052631578
"110",110,"1982-01-18",658.851601503759
"111",111,"1982-01-19",660.940624060151
"112",112,"1982-01-20",659.739436090227
"113",113,"1982-01-21",661.149526315791
"114",114,"1982-01-22",659.66109774436
"115",115,"1982-01-23",662.925195488721
"116",116,"1982-01-24",716.482511278195
"117",117,"1982-01-25",713.871233082706
"118",118,"1982-01-26",715.411887218047
"119",119,"1982-01-27",715.69912781955
"120",120,"1982-01-28",714.628503759398
"121",121,"1982-01-29",717.553135338346
"122",122,"1982-01-30",718.388744360901
"123",123,"1982-01-31",735.388165413535
"124",124,"1982-02-01",780.641616541355
"125",125,"1982-02-02",797.040443609023
"126",126,"1982-02-03",801.557954887218
"127",127,"1982-02-04",818.244022556389
"128",128,"1982-02-05",821.090315789474
"129",129,"1982-02-06",837.410804511279
"130",130,"1982-02-07",838.376977443611
"131",131,"1982-02-08",839.499827067669
"132",132,"1982-02-09",841.667187969924
"133",133,"1982-02-10",862.270172932331
"134",134,"1982-02-11",861.277887218047
"135",135,"1982-02-12",861.617353383459
"136",136,"1982-02-13",862.426849624061
"137",137,"1982-02-14",871.305195488721
"138",138,"1982-02-15",869.163947368422
"139",139,"1982-02-16",868.850593984962
"140",140,"1982-02-17",867.571067669171
"141",141,"1982-02-18",867.675518796991
"142",142,"1982-02-19",867.518842105265
"143",143,"1982-02-20",875.013210526317
"144",144,"1982-02-21",867.962759398497
"145",145,"1982-02-22",893.631624060151
"146",146,"1982-02-23",903.423917293233
"147",147,"1982-02-24",903.737270676692
"148",148,"1982-02-25",903.423917293233
"149",149,"1982-02-26",903.319466165413
"150",150,"1982-02-27",903.08445112782
